               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  21,            0.056198,             0.01042,                   0,             0.60903,             0.43227,             0.45118,             0.18683,             0.05339,            0.011994,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.055812,            0.010223,                   0,             0.59155,             0.47781,             0.47258,             0.18994,            0.052772,             0.01027,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.055113,            0.010027,                   0,              0.7184,             0.49616,             0.53393,             0.21381,            0.051238,            0.009661,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.053573,           0.0097788,                   0,              0.5896,             0.39865,             0.42962,             0.17526,            0.054056,            0.010563,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.052866,           0.0096572,                   0,              0.6975,             0.53325,             0.55594,             0.23408,            0.048777,           0.0094284,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.052271,           0.0093917,                   0,             0.72339,             0.53069,             0.58901,             0.25511,            0.048032,           0.0088236,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.051519,           0.0093611,                   0,             0.72103,             0.52813,             0.56469,             0.23858,               0.048,           0.0093999,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.049719,           0.0092638,                   0,             0.77241,              0.5243,             0.60703,             0.25833,            0.047411,           0.0089363,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.050041,           0.0088393,                   0,             0.74164,             0.59079,             0.62166,             0.26254,            0.047721,           0.0087798,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.049845,           0.0091317,                   0,             0.78731,             0.56394,             0.63611,             0.27719,              0.0457,            0.008455,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.048674,            0.008739,                   0,              0.8095,             0.56522,             0.63604,             0.28977,            0.045533,           0.0083397,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.048687,            0.008764,                   0,             0.74556,             0.59079,             0.63821,             0.28396,            0.046012,           0.0087498,                   0,            0.006931,            0.006931,            0.006931
                  33,             0.04787,           0.0086557,                   0,              0.7785,             0.57289,             0.63946,             0.29423,            0.044839,           0.0083749,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.046934,           0.0085844,                   0,             0.70843,             0.64834,             0.65788,             0.29224,            0.044243,           0.0081625,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.046638,           0.0084309,                   0,             0.76698,              0.6061,             0.65157,              0.2899,            0.045016,           0.0084665,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.047403,           0.0086282,                   0,              0.7342,             0.59847,             0.64311,             0.29834,             0.04493,           0.0080884,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.045736,           0.0084311,                   0,             0.81229,             0.63171,             0.67996,             0.31542,            0.042569,           0.0080144,                   0,            0.006436,            0.006436,            0.006436
                  38,              0.0466,           0.0084242,                   0,              0.7489,             0.57417,             0.63627,             0.30328,            0.042151,           0.0090813,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.046319,           0.0085319,                   0,              0.7717,             0.61811,              0.6611,             0.30319,            0.044983,           0.0081341,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.045708,           0.0085992,                   0,             0.80498,              0.6387,             0.68879,             0.32354,            0.044042,           0.0079169,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.044839,           0.0081492,                   0,             0.80458,             0.63181,             0.68117,             0.31357,            0.043556,           0.0080545,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.044435,           0.0080519,                   0,             0.83689,             0.63811,             0.70605,             0.31967,            0.044296,           0.0078151,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.044103,           0.0081074,                   0,             0.78242,             0.67136,             0.70518,             0.32097,            0.043357,           0.0079708,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.04378,           0.0078881,                   0,             0.81899,             0.63939,             0.70082,             0.32814,            0.043273,           0.0077549,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.043773,           0.0080254,                   0,             0.79439,             0.62746,              0.7037,             0.33627,            0.042725,           0.0078833,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.043298,           0.0080051,                   0,             0.82126,             0.63043,             0.70608,             0.33119,             0.04192,           0.0080048,                   0,            0.005545,            0.005545,            0.005545
